"","specimen_id","run","lanai_side","ek_day1","ek_day5","ek_day9","ek_delta","treatment","temp","rlc_order","plant_id","species","perc_delta"
"222","ul4-2","3","ewa",104.5,82.7,77.9,-0.254545454545454,"2",27,4,28,"ul",-25.455
"223","ul4-3","3","ewa",91.9,72.7,76.6,-0.166485310119695,"3",27,4,28,"ul",-16.649
"224","ul4-4","3","ewa",89.5,97.8,102.1,0.140782122905028,"4",27,4,28,"ul",14.078
"225","hm5-1","3","ewa",136.2,63.9,40.9,-0.699706314243759,"1",30,5,29,"hm",-69.971
"226","hm5-2","3","ewa",130.9,99.5,48.9,-0.626432391138273,"2",30,5,29,"hm",-62.643
"227","hm5-3","3","ewa",102.9,61.7,51.1,-0.503401360544218,"3",30,5,29,"hm",-50.34
"228","hm5-4","3","ewa",126.4,73.3,58.7,-0.535601265822785,"4",30,5,29,"hm",-53.56
"229","ul5-1","3","ewa",73.1,64.7,68.7,-0.0601915184678521,"1",30,5,29,"ul",-6.019
"230","ul5-2","3","ewa",97.3,67.1,43.2,-0.55601233299075,"2",30,5,29,"ul",-55.601
"231","ul5-3","3","ewa",87.4,97.6,81.2,-0.0709382151029748,"3",30,5,29,"ul",-7.094
"232","ul5-4","3","ewa",95.8,97.9,83.2,-0.131524008350731,"4",30,5,29,"ul",-13.152
"233","hm6-1","3","ewa",226.8,74.6,51.8,-0.771604938271605,"1",30,6,30,"hm",-77.16
"234","hm6-2","3","ewa",320.4,58.8,53.7,-0.832397003745318,"2",30,6,30,"hm",-83.24
"235","hm6-3","3","ewa",325,70.8,66.4,-0.795692307692308,"3",30,6,30,"hm",-79.569
"236","hm6-4","3","ewa",317.2,74.9,54.4,-0.828499369482976,"4",30,6,30,"hm",-82.85
"237","ul6-1","3","ewa",66,56.1,46.2,-0.3,"1",30,6,30,"ul",-30
"238","ul6-2","3","ewa",81.8,68.8,62.6,-0.234718826405868,"2",30,6,30,"ul",-23.472
"239","ul6-3","3","ewa",58.7,75.9,63.2,0.0766609880749574,"3",30,6,30,"ul",7.666
"240","ul6-4","3","ewa",73.7,97,81.5,0.105834464043419,"4",30,6,30,"ul",10.583
"241","hm1-1","3.5","diamond",173.9,155.9,110,-0.367452558941921,"1",20,1,31,"hm",-36.745
"242","hm1-2","3.5","diamond",125.8,106.2,58,-0.538950715421304,"2",20,1,31,"hm",-53.895
"243","hm1-3","3.5","diamond",122.7,113.1,89.7,-0.268948655256724,"3",20,1,31,"hm",-26.895
"244","hm1-4","3.5","diamond",132.2,96.1,84.9,-0.357791225416036,"4",20,1,31,"hm",-35.779
"245","ul1-1","3.5","diamond",61.6,76.3,77.6,0.25974025974026,"1",20,1,31,"ul",25.974
"246","ul1-2","3.5","diamond",56.2,61.5,61.1,0.0871886120996441,"2",20,1,31,"ul",8.719
"247","ul1-3","3.5","diamond",90,95.2,98.1,0.0899999999999999,"3",20,1,31,"ul",9
"248","ul1-4","3.5","diamond",68.9,104.7,84,0.219158200290276,"4",20,1,31,"ul",21.916
"249","hm2-1","3.5","diamond",153.4,112.5,108,-0.295958279009126,"1",20,2,32,"hm",-29.596
"250","hm2-2","3.5","diamond",105.6,148.6,152.4,0.443181818181818,"2",20,2,32,"hm",44.318
"251","hm2-3","3.5","diamond",95,80,88.5,-0.068421052631579,"3",20,2,32,"hm",-6.842
"252","hm2-4","3.5","diamond",92.1,95.6,128.6,0.396308360477742,"4",20,2,32,"hm",39.631
"253","ul2-1","3.5","diamond",111.1,85.4,100.1,-0.099009900990099,"1",20,2,32,"ul",-9.901
